"word","pos","hyphenation","ethymology","meaning"
"míra","podstatné jméno","mí-ra","Vyskytuje se ve všech slovanských jazycích, pochází z praslovanského *měra téhož významu odvozeného z indoevropského základu *mē- („měřit“, srovnej např. s latinským mētīrī téhož významu).","1) velikost, délka, rozměr, množství něčeho 2)  rozsah, případně jistá mez, jejichž přiměřenost obecně závisí na mínění mluvčího 3) hodnota (vyjádřená obvykle procentech) udávající, jaká část z]] má jistou specifickou vlastnost 4) správná, náležitá velikost, správné množství apod. (obvykle dané určitým standardem) 5)  způsob, jak něčeho dosáhnout 6) duševní stav či rovnováha, nálada 7) jednotka, kterou se měří velikost tělesa či množství tekutiny 8) stará objemová jednotka o]] [[velikosti 61,49 litru 9) stará plošná jednotka o]] metrů čtverečných 10) měřítko, měřidlo; nářadí sloužící k]] [[měření 11)  funkce, která určuje velikosti podmnožin určité množiny"
"mítink","podstatné jméno","mí-tink","Z anglického meeting.","1) organizované shromáždění mnoha osob 2)  mítink (1) spojený se sérií soutěží"
"mlít","sloveso","mlít","Slovo mlít se píše na rozdíl od mlýn, které patří do vyjmenovaných slov, s měkkým „i“. To je způsobeno rozdílným původem slov. Zatímco slovo mlýn vzniklo přejímkou z tehdejší německé podoby dnešního Mühle, které se do němčiny dostalo z latinského mola, slovo mlít vniklo z praslovanského *melti přesmyknutím hlásek el a zdloužením slabiky na „lé“, kde se „é“ později zúžilo na „í“.","1) pomocí vhodných nástrojů rozrušovat na nepoměrně menší kousky 2)  hodně, zbytečně nebo hloupě mluvit"
"mlýnek","podstatné jméno","mlý-nek","Zdrobnělina substantiva mlýn příponou -ek.","1) ruční přístroj na mletí 2)  mlýn"
"mlýn","podstatné jméno","mlýn","Slovo mlýn, které patří do vyjmenovaných slov, se píše na rozdíl od mlít s tvrdým y. To je způsobeno rozdílným původem slov. Zatímco slovo mlýn vzniklo přejímkou z tehdejší německé podoby dnešního Mühle, které se do němčiny dostalo z latinského mola, slovo mlít vniklo z praslovanského *melti přesmyknutím hlásek el a zdloužením slabiky na lé, kde se é později zúžilo na í.","1) zařízení na rozemílání obilí nebo jiných hmot; budova tímto zařízením 2) stolní hra 3) postavení hráčů v]]e hře ([[ragby)"
"množství","podstatné jméno","množ-ství","Od mnohý, k němuž lze najít ekvivalenty ve všech slovanských jazycích. Praslovanské *mъnog pochází z indoevropského *monogho- („mnohý“).","1) počet 2) mnoho, velký počet"
"mráček","podstatné jméno","mrá-ček","Zdrobnělina substantiva mrak pomocí přípony -ek.","1)  shluk vodních kapiček na obloze 2)  podobný shluk jiného materiálu"
"mrak","podstatné jméno","mrak","Z praslovanského slova *morkъ, původní význam tma, temno, temnota. Při prvotním vymezování a formování češtiny byl význam přenesen na současný a původní zapomenut. V češtině se dochovala slova související s původním významem, např. mračit se nebo soumrak, více se však dochovala v jiných slovanských jazycích, např. chorvatské slovo mrak či polské mrok v původním významu.","1) shluk vodních kapiček na obloze 2) podobný shluk jiného materiálu 3)  (obvykle v plurálu) blíže neurčené větší množství prvků"
"mrkačka","podstatné jméno","mr-kač-ka","Ve významu označení typu automobilu vzniklo podle vyklápěcích světlometů.","1) panenka s]] víčky 2)  typ automobilu Mazda 323F"
"mrkev","podstatné jméno","mr-kev","Z praslovanského *mъrky.","1) Daucus; rod rostlin čeledi miříkovitých 2) kořen mrkve obecné používaný jako zelenina"
"mrť","podstatné jméno","mrť","Z praslovanského *mъrtъ od *merti („mřít“).","1)  odumřelé tlející jehličí a]] [[listí, lesní humus, lesní stelivo 2)  neurodná vrstva půdy pod ornicí 3)  velmi malé množství, kousek"
"mše","podstatné jméno","mše","* Ze staročeského mšě, jež je, podobně jako v dalších slovanských jazycích, odvozeno ze staroslovanského mьša. To vzniklo, pravděpodobně přes románské messa, z latinského missa, což je femininum participia perfekta pasiva slovesa mittere — „poslat, posílat, propouštět, propustit“, z nějž byl substantivizací odvozen význam „propuštění, rozpuštění“. Na závěr mše tak kněz pronášel výraz „ite, missa est“, doslova „jděte, je propuštění (rozchod)“. Tomuto sousloví lze přikládat různé významy. Nejjednodušší je výklad „jděte, mše jest (ukončena)“. Podle pravděpodobnější hypotézy E. Paxe se jednalo o výzvu ke vzdálení katechumenů před začátkem druhé části mše, jíž se nemohli zúčastnit dosud nepokřtění. To by pak bylo vyvolalo přenesení významu u lidu, který si spojil výraz missa s významem bohoslužby oběti, která následovala. Podle J. Rejzka se zase propuštění mohlo týkat posvěceného chleba a vína, jež se v raném období křesťanství posílaly okolním křesťanským komunitám.","1) církevní obřad připomínající eucharistickou oběť Krista 2) hudební skladba sloužící původně jako doprovod při mši (1)"
"muchomůrka","podstatné jméno","mu-cho-můr-ka","Utvořeno od moucha a mořit/mor - vlastně tedy houba, která moří mouchy.","1) rod hub čeledi štítovkovitých 2) houba z]] [[rodu muchomůrek [1]"
"mundúr","podstatné jméno","mun-dúr","Francouzské (resp. románské) monter (vystoupit, monter un cavalier — opatřit jezdci výzbroj) se na začátku 17. století dostalo ve zúženém významu do vojenské němčiny jako montieren („opatřit všechno ostatní pro vojáka nutné mimo zbraň.“) Vojenské výzbroji se pak ve vojenské (slangové) němčině říkalo Mundirung a později (na konci 17. století) Mondour (Mundur). První známé užití v češtině je z Harantových Pamětí z roku 1631 („Steinau regiment 500 koní silen, dobře vymundírovaný, ale v ten čas sotva 300 koní byl.“)","1)  uniforma, stejnokroj 2)  oblek, šaty"
"můstek","podstatné jméno","mů-s-tek","Zdrobnělina slova most.","1)  most 2) stavba určená pro sportovní skoky (na lyžích, do vody aj.) 3)  způsob upevnění zubní protézy na sousední zuby 4) horní část lodi se stanovištěm kapitána 5)  elektrický obvod sloužící např. přesnému stanovení vlastností součástek 6)  odpad mezi lisovanými či stříhanými díly, uspořádanými nástřihovém plánu."
"muzeum","podstatné jméno","mu-zeum","Podle Múz (lat. Musae), řeckých bohyň umění.","1) ústav shromažďující a]] sbírky předmětů 2) * (Muzeum - stanice metra) 3) * (Jaromír Nohavica - Ladovská zima (2006 ) ) (Muzeum - Národní muzeum, podle něhož se jmenuje stanice metra Muzeum)"
"muzika","podstatné jméno","mu-zi-ka","Z německého Musik.","1) hudba, umění múzické 2) vánoční pokrm, kaše se sušeným ovocem"
"mužstvo","podstatné jméno","muž-stvo","Spojením substantiva muž a přípony -stvo.","1) skupina mužů se společným posláním 2)  soubor hráčů v]] [[kolektivních sportech"
"mýto","podstatné jméno","mý-to","* Ve významu (1) bylo přejato ze středohornoněmeckého muta — clo odvozeného od gótského muta souvisejícího asi se slovem mitam tj. měřit. Význam (2) je pravděpodobně jiného původu.","1) poplatek za použití komunikace pro vozidla či pro pěší 2)  místo vzniklé vymýcením stromů 3)  mzda, odměna"
"na","předložka","na","Etymologické zdroje podávají dva různé výklady. Aleksander Brückner uvádí, že slovo pochází z pruského no, z gótského ana, německého an. Izabela Malmorová poukazuje na celoslovanské na (české na, ruské на) a uvádí praslovanský původ ve slově *na (srovnej s litevským nuō (od, z), lotyšským nuo (od)), z praindoevropského *nō vyvinutého z praindoevropského *anō, a to z praindoevropského *an (nahoru).","1)  označuje polohu na povrchu něčeho 2)  označuje pohyb směrem na povrch něčeho 3)  vyjadřuje účel, cíl či směřování činnosti 4)  vyjadřuje účel činnosti nebo věci 5)  vyjadřuje prostředek, nástroj činnosti 6)  vyjadřuje časové určení 7)  nahrazuje předložku [[v]] 8)  zdůrazňuje určité množství"
"nadhled","podstatné jméno","nad-hled","Odvozeno ze slovesa hledět.","1)  schopnost a ochota podívat se na věci pohledem někoho jiného, ochota povznést se nad vlastní omezenou perspektivu či připustit, že není správná 2) pohled na objekt výšky, shora"
"nahrát","sloveso","na-hrát","Odvozeno od slovesa hrát předponou na-.","1)  poslat během hry míč nebo puk spoluhráči nebo protihráči 2) pořídit zvukový nebo obrazový záznam"
"napadnout","sloveso","na-pad-nout","Vzniklo složením předložky na a slovesa padnout v původním významu „padnout na někoho či na něco“. Význam „přijít na mysl“ je pozdější, pravděpodobně vznikl i pod vlivem německého einfallen.","1) objevit se v]] [[něčí mysli 2) provést útok proti někomu 3) padáním přibýt 4) vznést námitku 5)  zdědit"
"narkóza","podstatné jméno","nar-kó-za","Z řeckého νάρκωσις.","1) umělé uspání 2) umělé znecitlivění"
"nástroj","podstatné jméno","ná-stroj","Od nastrojiti, jehož kořen vychází z praslovanského *strojь. Jeho původ je nejistý, ale lze za něj pokládat indoevropské *(s)ter-, z kterého vychází i s významově blízkým latinským struere („stavět, vytvářet, seřizovat“).","1) předmět sloužící jako pomůcka při nějaké práci 2) předmět schopný vyluzovat zvuky využitelné hudbě 3) prostředek k]] podpoře nebo dosažení něčeho; vykonavatel cizí vůle"
"nativní","přídavné jméno","na-tiv-ní","z latinského nativus – přirozený","1) přirozený 2) původní, vrozený"
"návštěva","podstatné jméno","ná-vště-va","Souvisí s návěští.","1) příjezd nebo příchod někomu s]] nějakou dobu 2) příchod se záměrem účastnit se něčeho 3) ten, který koná návštěvu (1); hosté"
"nebe","podstatné jméno","ne-be","Z praslovanského slova *nebo (nebe), z protoindoevropského slova *nébʰos (mrak, oblak).","1) obloha 2) ráj, sídlo boha nebo bohů"
"nebesa","podstatné jméno","ne-be-sa","Původně byl tvar nebesa nominativem plurálu substantiva nebe, později se význam tohoto tvaru posunul a vzniklo tak nové substantivum nebesa. Původní plurál substantiva nebe byl zároveň postupně nahrazen tvarem nebe (-e, -í, -ím, -e, -e, -ích, -i). Kromě češtiny se takto slovo vyprofilovalo např. i v bosenštině, polštině nebo slovenštině a některých dalších slovanských jazycích. Z praslovanského slova *nebo (nebe), z protoindoevropského slova *nébʰos (mrak, oblak).","1) ráj, sídlo boha nebo bohů 2)  Bůh, božstvo 3)  (zaniká) obloha 4) ozdobná konstrukce postele"
"neděle","podstatné jméno","ne-dě-le","Pochází od slova nedělat, neboť neděle je dnem, kdy se nepracuje.","1) den týdnu mezi sobotou a]] [[pondělím 2)  týdny"
"nekňuba","podstatné jméno","ne-kňu-ba","Možná od slova kuba (hlupák).","1) budižkničemu 2)  hloupý, nešikovný člověk"
"nežli","spojka","nežli","Složenina ze spojení než-li. Slovo nežli bylo v minulosti poněkud zastaralé (dle SSJČ), do spisovného jazyka se ale opět vrátilo (dle SSČ).","1) označuje nerovnost 2) vyjadřuje předčasnost děje"
"nika","podstatné jméno","ni-ka","Z italského nicchia odvozeného od nicchio (mušle).","1)  výklenek, prohlubeň ve zdi, často určená pro sochu 2)  ekologická nika; nároky populace určitého druhu v]] [[ekosystému 3)  příležitost k]] určitého zboží na trhu"
"nirvána","podstatné jméno","nir-vá-na","Ze sanskrtského निर्वाण – vyhasnutí ohně; uhasnutí.","1) buddhismu stav konečného vysvobození z]] [[koloběhu života 2)  blaženost, uspokojení"
"noha","podstatné jméno","no-ha","Z praslovanského slova *noga.","1) dolní končetina 2) část dolní končetiny od kotníku po prsty 3) (mykologie) část plodnice houby připomínající stonek a]] [[nesoucí klobouk"
"novinka","podstatné jméno","no-vin-ka","Zdrobnělina substantiva novina prostřednictvím přípony -ka.","1)  novina, nová zpráva o]] [[něčem 2) něco nového, poutavého, nová věc"
"nu","částice","nu","* z latinského nudus","1) uvozuje výrok, který je závěrem předchozí úvahy, objektivizuje ho 2) uvozuje nějaký osobní pocit"
"občerstvení","podstatné jméno","ob-čer-stve-ní","Předpona ob- + čerstvý + připona -ní.","1) jídlo nebo nápoj k]] [[osvěžení 2) malý obchod prodávající jídlo nebo nápoje k]] [[osvěžení"
"obláček","podstatné jméno","oblá-ček","Zdrobnělina substantiva oblak pomocí přípony -ek.","1)  shluk vodních kapiček na obloze 2)  podobný shluk jiného materiálu"
"oblak","podstatné jméno","ob-lak","Z praslovanského slova *obolkъ.","1) nepravidelný útvar atmosféře tvořený drobnými kapičkami vody nebo krystalky ledu 2) uskupení prachu, páry nebo kouře"
"obligace","podstatné jméno","ob-li-ga-ce","Z latinského obligatio (svázání, spoutání). V Římě až do vydání Poeteliova zákona (lex Poetelia) roku 326 př. Kr. dlužník ručil svou osobou, v případě nesplnění pohledávky propadl do moci věřitele a ten jej spoutaného (ligare - obligare) mohl prodat do otroctví, zavřít do vězení nebo i zabít.","1)  závazek 2)  dluhopis 3)  dlužní úpis"
"oblý","přídavné jméno","ob-lý","Ze staroslověnského oblь stejně jako polské obły, to pak z předpony ob- a praslovanského *uel- (točit se), viz české vlna, valit.","1) zaokrouhlený, zakulacený, bez ostrých hran 2) příjemný, přijatelný"
"oboustranný","přídavné jméno","obou-stran-ný","Složenina z oba, obou a stranný.","1) tvořený oběma stranami 2) jsoucí na obou stranách"
"obrázek","podstatné jméno","obrá-zek","* zdrobnělina slova obraz","1)  obraz 2) část písemného díla doplňující na stránkách text 3)  myšlenka evokující prožitou situaci"
"obžerství","podstatné jméno","ob-žer-ství","Odvozením pomocí předpony ob- a přípony -ství od tvaru slovesa žrát.","1) nadměrná konzumace nejen jídla, ale též dalších požitků 2) jeden ze sedmi hlavních hříchů rámci křesťanství"
"ocas","podstatné jméno","ocas","Původ slova není jasný. Jako nejpravděpodobnější se zdá výklad Jungmanna, podle nějž je odvozeno od slovesa cásati tj. metat, házet souvisejícího s tím, že zvířata ocasem pohazují, pohybují.","1) výrůstek některých živočichů na zadním konci těla, pokračování páteře 2)  penis"
"odysea","podstatné jméno","ody-sea","Zobecněno z názvu antické epické básně Ὀδύσσεια (Odysseia, Odyssea), popisující desetileté putování ithackého krále Odyssea na zpáteční cestě z Trojské války.","1) dlouhé bludné, strastiplné putování 2) pestré životní osudy"
"oheň","podstatné jméno","oheň","Všeslovanské. - Polsky ogień. ruské огонь (ogóň), srbochorvatské òganj, staroslověnské огнь. Praslovanské *ognь je příbuzné s litevským ugnís, latinským ignis, sanskrtským agnih téhož významu, vše pak z indoevropského *ognis, 2.pád asi *egnis, čímž se částečně vysvětlí různé násloví (srovnej podobně noc). Srovnej s výheň.","1) úkaz provázející hoření podobě zářících plamenů vyzařujících teplo 2) rozsáhlý oheň (1) spalující mnoho objektů 3)  střelba ze zbraní 4) pocit horka 5)  citové vzplanutí 6)  vrozená tmavě červená skvrna na kůži člověka"
"okultní","přídavné jméno","okult-ní","Z latinského occultus (tajný, skrytý).","1)  skrytý, neviditelný 2)  skryté, nerozpoznatelné zrakem, ale jen laboratorním vyšetřením 3) týkající se okultismu"
"olej","podstatné jméno","olej","Z latinského substantiva oleum (olivový olej), ze starořeckého substantiva ἔλαιον (olivový olej), z ἐλαία (oliva).","1) jedlý tuk kapalném skupenství nemísitelný vodou používaná teplé studené kuchyni 2) mastná tekutina nemísitelná vodou používaná k]] [[technickým účelům 3) obraz vytvořený malířskou olejovou barvou 4)  klidná vodní hladina"
"oligarchie","podstatné jméno","oli-gar-chie","Ze starořeckého ὀλιγαρχία (oligarchíā, „vláda malé skupiny lidí“), což je složenina ὀλίγος (olígos, „několik, malý“) a ἄρχω (árchō, „vládnu“).","1) forma organizace společnosti, níž vládne malá skupina lidí, často bohatých 2) stát, ve kterém vládne malá skupina lidí"
"onomatopoický","přídavné jméno","ono-ma-to-poic-ký","Pochází ze starořeckého ὀνοματοποιία ‎(onomatopoiía), odvozeného z ὀνοματοποιέω ‎(onomatopoiéō = pojmenovat), což je složenina ze slov ὄνομα ‎(onoma = jméno, slovo) a ποιέω ‎(poiéō = vytvořit).","1)   utvořený napodobením přirozených zvuků nebo z]] vzniklého základu 2) vztahující se onomatopoiím"
"Opava","podstatné jméno","Opa-va","Název řeky Opavy (doložené už roku 1031, Vpa (Upa), roku 1062 Opa) je velmi starý a ještě předslovanský, vychází z indoevropského *apa/*opa („voda, moře“) , srovnej řeka Úpa, staropruské ape („tok“), litevské ūpé („tok“), lotyšské upe („potok“). Základ apa, opa byl rozšířen v germánské ahwa>aha (s významem „voda“, srovnej s latinským aqua), z něhož se v germánských jazycích vyvinula přípona -aha pozdějším vývinem změněná v -au, -a. Germánské -aha, -au bylo do slovanských jazyků přejato jako příponové -ava, které má řada vodních toků (např. Vltava, Sázava, Morava). Původně tedy Apa-ahwa přešlo v Apaha, z něhož se vyvinulo slovanské Opava. (V němčině se Apaha změnilo na Oppa). Slezské město nazváno podle řeky, na níž leží. Nejstarší dochovaný název je z roku 1195 (Opauia, latinská podoba jména Opava).","1) město ve Slezsku na stejnojmenné řece (2); historii hlavní město české části Slezska 2) hlavní řeka české části Slezska, první velký levý přítok Odry 3) obec Banskobystrickém kraji"
"opce","podstatné jméno","op-ce","Z anglického option (volba, právo volby).","1) instrument finančního trhu na jehož základě má jedna strana právo po druhé straně požadovat koupi nebo prodej bázického instrumentu (obvykle akcií, jiných cenných papírů nebo finančních derivátů) během nebo po uplynutí stanovené doby za předem dohodnutou cenu druhá strana má, je-li o]] stranou požádána, povinnost takový bázický instrument prodat nebo koupit 2) způsob vzniku státního občanství, kdy osoba mající právo volby mezi více státními občanstvími prohlásí, že je státním občanem určitého státu"
"orgán","podstatné jméno","or-gán","Přejato přes německé Organ z pozdně latinského organum s plurálem organa s významem „nástroj, smyslové ústrojí, orgán“, které pochází z řeckého ὄργανον (órganon, „nástroj, nářadí, dílo“) s plurálem ὄργανα (órgana) odvozeného od ἔργον (érgon, „dílo, práce“). R. Večerka ve svém Uvedení do etymologie připouští i možnost přímého přejetí z řečtiny.","1) část těla mnohobuněčného organismu specializovaná na určitou funkci 2) složka veřejné správy nebo řídícího aparátu organizace určitou funkcí 3)  osoba nebo kolegium osob pověřené řízením nebo péčí o]] [[nějaký okruh záležitostí 4) tiskovina hlásající něčí názory, podporující něčí zájmy 5)  přirození"
"organisace","podstatné jméno","or-ga-ni-sa-ce","Přejato přes německé organisieren z francouzského tvaru organiser od slova organe („orgán“), které vzešlo z pozdně latinského organum s plurálem organa s významem „nástroj, smyslové ústrojí, orgán“. Další původ lze vidět v řeckém ὄργανον (órganon, „nástroj, nářadí, dílo“) s plurálem ὄργανα (órgana) odvozeném od ἔργον (érgon, „dílo, práce“). R. Večerka ve svém Uvedení do etymologie připouští i možnost přímého přejetí z řečtiny.","1) činnost spočívající v]] [[organizování 2) účelné uspořádání složek určitého celku 3) sdružení osob nebo institucí se společným cílem nebo zájmy, popřípadě nižší složka takového sdružení"
"organismus","podstatné jméno","or-ga-ni-s-mus","Přejato přes německé Organ z pozdně latinského organum s plurálem organa s významem „nástroj, smyslové ústrojí, orgán“, které pochází z řeckého ὄργανον (órganon, „nástroj, nářadí, dílo“) s plurálem ὄργανα (órgana) odvozeného od ἔργον (érgon, „dílo, práce“). R. Večerka ve svém Uvedení do etymologie připouští i možnost přímého přejetí z řečtiny.","1) tělo rostlinného nebo živočišného jedince chápané jako souhrn tělesných orgánů 2) účelně složený celek, systém uzpůsobený určité funkci"
"organizace","podstatné jméno","or-ga-ni-za-ce","Přejato přes německé organisieren z francouzského tvaru organiser od slova organe („orgán“), které vzešlo z pozdně latinského organum s plurálem organa s významem „nástroj, smyslové ústrojí, orgán“. Další původ lze vidět v řeckém ὄργανον (órganon, „nástroj, nářadí, dílo“) s plurálem ὄργανα (órgana) odvozeném od ἔργον (érgon, „dílo, práce“). R. Večerka ve svém Uvedení do etymologie připouští i možnost přímého přejetí z řečtiny.","1) činnost spočívající v]] [[organizování 2) účelné uspořádání složek určitého celku 3) sdružení osob nebo institucí se společným cílem nebo zájmy, popřípadě nižší složka takového sdružení"
"originál","podstatné jméno","ori-gi-nál","Odvozeno z latinského originalis — „původní“, jež vychází z originem, akuzativu substantiva origo — „počátek, zdroj, zrození“, jež vyšlo ze slovesa oriri, „povstat“; srovnej též orient.","1) umělecké dílo, vytvořené autorem podle původní koncepce 2) původní exemplář písemnosti resp. datového nosiče 3) původní znění textu v]] jazyce"
"originální","přídavné jméno","ori-gi-nál-ní","Odvozeno od substantiva originál s příponou -ní.","1) mající vlastnosti originálu 2) mající nevšední vlastnosti či zvyky"
"orkán","podstatné jméno","or-kán","Z nizozemského orkaan, původně z karibského huracan.","1) vítr o]] hodinu, odpovídající dvanáctému stupni Beaufortovy stupnice 2) místní název pro tropickou cyklónu vyskytující se Indickém oceánu"
"oslnit","sloveso","osl-nit","Zřetelně souvisí se slovem slunce.","1) zasáhnout někoho prudkým světlem a]] tím na několik vteřin z]] [[provozu jeho zrak 2) překvapit, ohromit svým výkonem, svojí krásou apod."
"Osvětim","podstatné jméno","Os-vě-tim","Z polského Oświęcim, to ze slovesa oświęcić.","1) město Polsku v]] [[západní Haliči 2) Auschwitz, Auschwitz-Birkenau; německý koncentrační tábor [[v]] Osvětimi [1]"
"ošklivý","přídavné jméno","ošk-li-vý","Vychází pravděpodobně z nedoloženého *o-tъsklivъ a souvisí takto se stesk a teskný.","1) postrádající krásu; takový, jaký vzbuzuje estetickou nelibost 2) (o počasí) nehezký, protivný, nevlídný"
"oštěp","podstatné jméno","oš-těp","Ze staročeského oščep, oščiep (oštěp, kopí).","1) druh zbraně k]] podobě tyče s]] [[hrotem 2) druh atletického vrhačského náčiní 3)  atletická disciplína hod oštěpem"
"otorinolaryngologie","podstatné jméno","oto-ri-no-la-ryn-go-lo-gie","Novolatinské otorhinolaryngologia. Utvořeno ze starořeckých základů οὖς, gen.ὠτός — ucho, ῥίς, gen.ῥινός — nos, λάρυγξ — hltan a dále -λογία — věda, nauka. Srovnej např. anglické otitis, rhinoceros, české rinitida, laryngála atd.","1) nauka o]] [[ušních, nosních a krčních nemocech 2) oddělení kliniky poskytující ošetření a konzultace pacientům s takovýmito chorobami"
"otrávit","sloveso","o-trá-vit","Z praslovanského *traviti, což je iterativum k *truti, které vychází z indoevropského *treu- 'drobit, třít', které je od kořene *ter-, z nějž například anglické throw, německé drehen, latinské tero a naše třít.","1) usmrtit jedem 2) znepříjemnit, pokazit"
"otrok","podstatné jméno","ot-rok","Vzniklo jako složenina předpony ot- označující odloučení od něčeho a kořenu rok odvozeného od rek, varianty staročeského řéci, tj. říci.","1) osoba, která je zbavena svých práv je považována za něčí majetek 2)  osoba, která na někom nebo na něčem silně závisí 3)  nedospělý mladík, chlapec"
"pachtění","podstatné jméno","pach-tě-ní","Verbální substantivum slovesa pachtit se.","1) namáhání se, hmoždění se 2)   usilování o]] něčím"
"palác","podstatné jméno","pa-lác","Ze starofrancouzského palais — „palác, dvůr“, jež bylo odvozeno ze středověkého latinského palacium a latinského palatium (v plurálu: „palác“) či Mons Palatinus — „vršek Palatin“, jména jednoho ze sedmi pahorků starověkého Říma, kde stál dům Augusta Caesara, prapůvodní „palác“.","1) honosná rozsáhlá rezidence 2) rozsáhlá budova resp. komplex 3)  hlavní obytná budova hradu"
"pálenka","podstatné jméno","pá-len-ka","od pálit, pálen + -ka","1) lihovina 2)  palírna 3)  hnědočervená kráva"
"palička","podstatné jméno","pa-lič-ka","Významy [1] - [3] jsou zdrobnělinou od palice. Význam [4] je přechýlením slova palič.","1)  palice 2)  plod česneku (k určení množství) 3) pomůcka sloužící k]] blány bubnu 4)  žhářka"
"pámbíček","podstatné jméno","pám-bí-ček","Zkomolením z pánbíček.","1) (familiárně, zdrobněle) pánbůh 2) (familiárně) na zdraví (výlučně po kýchnutí)"
"pánbíček","podstatné jméno","pán-bí-ček","Zdrobnělina českého substantiva pánbůh.","1) (familiárně, zdrobněle) pánbůh 2) (familiárně) na zdraví (výlučně po kýchnutí), zkrácenina z Pozdrav tě pánbíček."
"pánbůh","podstatné jméno","pán-bůh","Ze slovního spojení Pán Bůh (uctivé označení křesťanského Boha).","1) zevšednělé uctivé označení Boha 2)  člověk považovaný díky svým kvalitám za boha"
"panenka","podstatné jméno","pa-nen-ka","* zdrobnělina slova panna","1) hračka ve tvaru postavy 2)  hezká dívka 3) zornice 4) druh masa používaného gastronomii"
"panychida","podstatné jméno","pa-ny-chi-da","Ze spojení řeckých slov πάν, νύξ — „celá noc“, tedy „celonoční“ (služba), odkazující na to, že v době pronásledování křesťanů se modlitby za zemřelé konaly v noci.","1) pravoslavná zádušní mše za zemřelé 2)  smuteční slavnost"
"paradigma","podstatné jméno","pa-ra-dig-ma","* z řeckého παράδειγμα","1) příklad, model, vzor 2) myšlenkový rámec; souhrn základních myšlenek a]] [[předpokladů 3) vědecké paradigma (2) 4)  množina (resp. systémová třída) v]] prvků s]]e [[společnými rysy 5)  vzor, např. pro skloňování nebo časování"
"paragraf","podstatné jméno","pa-ra-graf","Z řečtiny.","1) grafický symbol § 2) odstavec textu (např. zákona) označený paragrafem (1)"
"párek","podstatné jméno","pá-rek","V obecném významu utvořeno od slova pár příponou -ek. Užití slova pro označení druhu uzenářského výrobku souvisí s tím, že se dříve prodávaly dva spojené kusy (jeden párek = dvě nožičky).","1)  pár 2) druh uzeniny mletého masa"
"parchant","podstatné jméno","par-chant","Přesmykem z původního panchart, které vychází z posměšného středohornoněmeckého banchart, bankhart s významem levoboček, doslova něco jako ""dítě, zplozené na lavici"". Srovnej např. bastard, Gerhard, Reinhard, dále např. německé Bank a francouzskou příponu -ard.","1)  dítě, jehož rodiče nejsou manželé, levoboček 2)  ničema, lump"
"parlament","podstatné jméno","par-la-ment","* Z francouzského parlement – rozhovor.","1) sbor volených nebo nevolených zástupců určité administrativní územní jednotky, který může mít podle politického zřízení zákonodárnou nebo poradní pravomoc 2) budova parlamentu (1)"
"parte","příslovce","par-te","Z latinského pars, partem.","1) úmrtní oznámení 2)  volná jízdenka pracovníků dopravního podniku v]] [[Praze"
"partner","podstatné jméno","part-ner","Odvozeno přes anglické partner ze starofrancouzského parçonier „partner, spoluvlastník, spoludědic“, jež vyšlo ze základu parçon — „podíl, část“, odvozeného z latinského partitio téhož významu, vlastně příčestí minulého slovesa partire — „rozdělovat, dělit“. Toto sloveso vyšlo ze substantiva pars — „část, podíl, oddíl; frakce, strana“, příbuzného také se substantivem portio — „část, podíl“, odvozeného z protoindoevropského kořene *pere- s významem „ustanovit, určit, přidělit“.","1) osoba, se kterou někdo společně vykonává určitou aktivitu 2) muž, se kterým někdo žije v]] [[manželství"
"pasáž","podstatné jméno","pa-sáž","Z francouzského passage, které je deverbativem slovesa passer","1) zastřešený prostor mezi městskými domy, jímž lze procházet 2) úsek uměleckého díla, zejména textu 3)  kratší část hudebního díla"
"pást","sloveso","pást","Všeslovanské. Praslovanská podoba *pasti je příbuzná s latinským pāscere, dále např. s anglickým feed, food, předchůdcem německého füttern („krmit, futrovat“) či starořeckým πατέεσθαι („jíst a pít“).","1) dohlížet na své nebo svěřené ovce, dobytek (či drůbež), když se samostatně krmí neoploceném prostoru 2) pod záminkou ochrany finančně vykořisťovat prostitutku 3)  usilovat o]], [[usilovně hledat"
"patent","podstatné jméno","pa-tent","Z latinského patens (otevřený, veřejný).","1)  zákonná ochrana vynálezu zaručující jejímu vlastníkovi výhradní právo průmyslovému využití vynálezu 2)  výsada 3)  otevřený, veřejný list, kterým se něco prohlašuje, zejména ve slavnostní formě 4)   úřední vrchnostenská veřejná vyhláška obvykle zveřejňující rozhodnutí vydavatele (zpravidla panovníka) 5)  listina, kterou bývali jmenováni úředníci 6)  pružná oboulícní pletenina 7)  veřejný list, dopis 8)  druh bramborového pečiva"
"pero","podstatné jméno","pe-ro","Ze španělského pero","1) útvar vyrůstající z]] [[kůže ptáků 2) nástroj na psaní 3) strojní součástka sloužící ke spojení náboje s]] [[hřídelem 4)  pružná součást zařízení"
